10  150
5	65	97	3	12	56	99	37	99	11	48	49	69	20	33	59	53	84	15	26	9	78	72	65	78	50	100	20	100	30	1	44	66	43	66	40	13	79	62	31	37	26	54	80	26	22	68	53	97	17	5	45	36	12	38	39	11	73	93	49	86	71	36	93	81	49	79	63	7	78	27	27	45	100	69	33	68	6	45	59	87	65	89	59	38	37	74	73	54	1	71	34	69	23	38	42	91	85	51	50	80	24	6	13	85	76	83	62	61	97	16	50	28	39	60	18	90	57	95	50	82	35	51	49	54	93	9	10	64	72	51	22	93	53	16	67	45	16	41	60	52	84	33	90	52	66	62	13	44	40	
16	43	96	94	4	7	25	55	54	6	98	44	99	42	88	69	73	60	40	95	38	61	63	24	53	35	21	88	93	76	29	23	59	19	27	11	52	63	44	48	83	30	17	50	70	11	85	38	100	52	16	6	26	39	95	39	36	30	23	64	4	80	54	6	45	33	34	35	74	12	52	75	6	73	75	57	91	71	79	94	22	93	45	55	8	11	27	15	46	10	75	67	99	36	5	54	3	30	4	33	98	89	67	8	37	16	52	47	43	6	47	36	66	25	27	65	39	31	17	6	48	3	23	86	35	99	47	100	60	48	50	84	8	71	84	81	96	31	58	16	59	39	42	29	64	79	91	75	30	97	
100	31	11	25	40	26	23	63	22	41	50	14	16	86	39	74	80	97	1	81	30	76	27	36	95	3	49	79	95	39	43	46	89	74	9	84	28	8	25	63	50	41	8	46	73	49	81	55	5	22	78	18	34	58	86	1	16	54	59	38	24	27	93	54	77	84	16	78	16	68	59	73	30	27	74	52	20	1	77	14	92	89	54	86	64	3	30	80	94	43	34	60	90	24	51	41	33	76	11	98	61	58	93	11	39	95	88	31	84	86	20	88	48	97	58	20	41	73	5	59	93	99	17	39	35	30	37	66	6	33	77	22	51	45	51	32	33	5	96	75	21	62	61	57	62	9	24	46	15	41	
9	66	58	12	56	61	29	64	27	28	20	1	97	21	98	12	9	35	44	81	46	62	14	5	1	41	97	54	89	77	64	100	96	67	11	43	99	100	68	56	49	68	82	91	59	56	44	57	95	56	84	16	90	65	76	3	94	100	99	28	91	22	95	55	71	72	53	15	100	25	80	55	84	65	72	83	56	78	61	96	93	75	41	65	81	44	45	62	49	36	87	92	75	76	41	29	93	28	62	17	15	91	17	24	67	43	52	19	81	29	47	58	36	10	84	53	78	53	89	5	26	90	61	71	85	27	66	59	74	26	94	5	3	47	61	43	86	63	59	9	32	43	27	88	14	22	58	66	41	34	
5	67	40	45	100	59	70	53	60	98	78	96	85	100	26	31	24	6	81	28	11	27	9	43	57	48	67	11	87	58	34	22	17	2	58	24	58	12	83	24	40	17	24	8	46	89	50	71	42	24	46	81	3	15	15	43	19	15	92	18	73	50	24	39	76	78	1	91	70	54	78	98	55	98	83	73	70	23	42	88	82	22	28	6	8	77	58	48	25	80	35	24	95	25	81	1	65	78	42	49	48	74	15	26	79	43	79	44	24	20	75	91	39	42	28	28	75	87	47	53	12	52	97	52	12	34	77	14	90	1	7	44	82	26	54	48	16	67	89	14	57	64	23	81	35	42	98	12	36	80	
96	43	49	55	33	64	61	94	90	73	88	64	77	62	41	31	60	95	95	2	46	14	93	4	64	50	21	94	45	64	97	61	21	96	30	28	49	65	55	87	98	66	25	96	85	29	69	73	2	90	78	95	31	20	37	55	79	80	76	87	28	30	44	98	40	80	79	25	6	99	86	59	85	70	93	44	16	11	93	6	48	44	50	8	82	46	68	96	52	43	6	24	61	98	40	24	76	50	47	18	17	49	27	25	36	52	13	70	10	15	15	45	75	62	28	21	88	47	48	75	71	3	47	27	8	95	27	40	56	57	15	92	49	43	25	62	39	72	35	52	59	91	16	73	57	36	56	26	94	18	
14	1	26	14	63	29	88	91	24	11	6	39	89	49	22	45	7	16	87	78	36	82	8	27	54	39	77	52	4	33	95	96	82	53	10	20	43	83	75	92	31	69	60	26	6	7	7	62	78	95	75	11	20	69	56	51	67	56	17	84	74	68	40	58	46	73	20	56	9	54	92	51	22	10	51	38	29	98	32	42	22	77	100	1	22	38	55	35	69	4	64	98	92	72	33	22	79	70	55	48	6	25	18	56	53	95	19	86	51	72	74	73	99	1	65	68	3	29	10	88	55	29	7	49	16	1	28	46	30	18	19	13	12	94	84	38	55	54	4	72	91	93	67	82	49	76	73	26	53	98	
78	61	95	40	38	86	30	27	34	28	28	56	17	58	30	74	76	70	39	80	50	88	100	40	96	40	90	73	33	76	91	16	71	48	39	14	55	46	45	38	13	8	79	89	59	80	92	95	30	63	94	32	5	17	51	9	98	57	17	30	54	11	61	70	52	79	14	93	55	56	3	36	80	66	69	90	56	67	57	1	37	69	86	35	20	32	52	11	66	81	4	51	50	15	38	61	40	28	27	86	41	36	73	42	4	23	60	93	25	100	15	52	41	83	60	79	47	97	33	73	44	5	3	6	40	62	24	10	4	9	62	64	18	94	50	90	4	41	93	2	84	46	81	25	39	39	39	21	44	68	
56	38	30	60	44	30	41	17	50	49	67	76	80	68	94	32	60	30	57	21	87	84	53	67	1	11	81	10	24	81	71	89	10	62	75	19	34	22	79	35	74	28	8	24	21	1	81	39	57	27	89	5	39	73	59	13	46	18	71	12	95	48	90	96	13	22	82	94	61	50	78	63	84	12	55	89	4	34	93	97	20	64	80	78	25	67	28	26	17	68	65	2	8	75	68	16	8	4	10	39	88	46	69	37	93	81	92	46	26	2	48	78	60	37	65	63	98	32	92	37	43	99	72	75	100	79	74	67	71	14	68	48	58	6	84	84	44	33	54	13	60	8	67	44	14	59	30	24	90	97	
85	69	81	67	55	69	83	45	81	55	1	74	19	56	92	94	58	24	9	78	31	48	59	17	73	48	47	58	16	66	9	58	44	36	16	40	30	62	50	24	63	80	30	18	81	39	89	38	31	63	87	44	64	47	55	62	95	35	54	79	15	36	45	78	10	42	62	5	65	71	71	30	100	31	14	99	22	11	25	33	44	2	4	76	51	50	56	43	62	38	55	81	73	19	63	83	26	81	59	61	83	57	93	45	74	86	39	85	66	31	55	40	42	31	17	30	38	36	49	22	7	82	2	39	91	43	8	66	38	38	78	27	59	17	42	14	68	18	19	57	89	95	12	83	74	29	9	83	28	26	
7452	2170	4975	6311	5284	3320	1482	5647	7484	6359	7182	6631	1111	2451	1550	7026	1761	3856	5389	6415	7285	1147	1455	3071	653	3986	6812	5113	6852	1751	5599	5860	3809	4450	6038	3747	5160	238	4899	1813	3103	4860	4027	7498	7188	2078	3703	5040	1403	2576	5698	3149	3252	5494	2940	3586	2474	654	3546	792	356	4292	6553	7189	1807	5545	6885	5688	2310	2791	6507	2842	741	7100	4981	2224	5683	5603	5992	4410	6598	484	5608	2146	4145	4626	6288	2604	3967	5304	7493	575	1178	495	2028	1565	1413	7423	3480	3750	1384	6336	7187	497	4612	2296	6997	1812	2704	4020	7493	2313	5320	5716	4923	5853	4484	1936	3182	4580	1083	2148	820	215	1571	563	534	2581	961	2036	6921	3759	1679	7399	4329	4474	2399	6910	7260	1665	6452	4389	3792	6406	6267	1495	3681	1116	891	1981	
0	41	64	76	41	46	39	71	44	79	44	45	18	67	63	67	54	73	56	31	50	48	60	51	97	18	56	46	71	26	55	66	45	67	54	50	25	65	53	30	88	13	80	71	61	57	87	66	43	66	48	55	58	89	25	48	55	52	46	65	62	41	67	35	59	57	77	55	49	32	54	62	72	67	63	34	62	35	48	68	43	42	57	59	43	36	63	53	54	89	78	56	44	70	27	56	72	34	75	44	62	49	72	68	35	69	49	61	83	62	51	76	32	81	64	69	58	23	73	71	81	45	46	65	27	64	71	77	56	70	40	58	61	70	73	92	74	33	49	79	15	70	38	44	22	72	83	45	44	57	36	
41	0	54	61	27	26	29	54	46	41	3	5	29	29	45	41	32	36	20	19	10	29	38	15	64	22	20	42	39	21	32	27	27	62	14	37	35	38	53	12	56	32	57	31	21	19	54	28	40	38	27	28	59	54	17	32	58	11	10	42	39	44	27	37	31	16	43	15	34	11	18	20	63	57	45	17	52	34	24	43	46	48	41	23	32	21	24	58	53	59	45	40	40	69	14	52	31	18	42	42	29	24	31	29	37	35	24	29	46	20	29	37	16	47	46	61	53	18	37	39	50	36	46	66	30	54	43	51	23	52	34	60	54	42	32	61	44	22	9	58	27	58	35	38	19	54	47	26	38	29	5	
64	54	0	13	28	27	28	12	20	50	55	53	46	48	13	26	24	50	43	40	52	25	21	45	51	57	42	17	36	43	25	74	27	8	61	17	39	27	13	50	44	51	24	75	66	46	47	47	20	29	27	31	15	50	59	22	18	54	46	21	21	23	74	28	30	59	43	52	20	47	43	60	9	3	12	39	2	28	30	24	22	25	13	43	24	35	50	20	13	42	42	15	19	17	57	9	58	39	40	19	37	31	60	54	28	38	31	36	53	60	25	55	42	43	13	6	7	54	46	36	38	20	18	18	37	0	29	28	39	14	25	16	4	29	62	44	35	36	62	22	53	6	26	20	58	13	49	28	20	31	57	
76	61	13	0	38	36	38	7	33	47	62	59	58	48	16	25	29	48	47	50	57	33	24	49	42	67	46	30	34	53	30	78	36	16	65	27	51	27	26	60	36	63	15	77	69	50	40	48	33	28	35	35	27	43	69	31	30	59	52	21	23	36	77	41	33	63	39	56	29	57	47	63	11	10	16	49	14	40	37	22	35	38	21	45	34	45	52	33	26	33	38	22	32	24	67	22	58	49	37	32	39	37	60	54	41	37	37	38	49	63	32	54	52	38	15	11	20	64	45	34	32	31	32	27	49	13	26	21	42	10	36	28	17	26	63	35	31	46	68	12	65	7	38	31	68	8	45	37	32	34	65	
41	27	28	38	0	5	4	31	19	42	29	27	22	34	23	26	13	39	24	12	28	7	19	22	57	29	23	14	32	15	15	51	4	35	37	11	20	24	25	22	48	27	38	53	43	26	48	33	13	25	7	16	32	50	31	7	31	30	21	24	20	18	51	14	19	36	39	30	9	19	22	38	37	31	22	11	26	11	9	26	20	23	17	26	5	7	32	31	26	48	39	16	13	42	29	25	42	11	36	15	25	11	43	38	14	30	11	23	47	38	10	44	14	42	24	34	26	26	37	32	40	9	19	39	15	28	30	36	22	30	7	32	27	29	46	51	34	8	36	38	27	33	10	10	30	32	45	5	11	18	29	
46	26	27	36	5	0	9	29	22	37	28	26	27	29	20	21	8	34	20	15	25	3	14	19	52	33	18	17	26	19	9	48	1	35	34	10	25	19	27	24	42	32	34	50	40	22	43	28	17	20	2	11	33	45	33	5	33	28	19	19	16	22	48	19	14	33	33	27	7	21	18	35	37	30	20	13	25	16	4	22	24	27	15	21	8	9	28	34	28	43	34	14	16	43	31	26	37	13	30	18	20	6	39	33	19	25	6	18	41	35	5	39	16	37	21	34	27	29	32	26	35	11	22	41	20	27	25	31	17	27	12	34	27	24	41	46	29	12	34	34	31	31	15	13	32	29	40	1	14	12	29	
39	29	28	38	4	9	0	32	16	46	31	30	20	38	24	29	16	43	28	12	31	10	21	26	60	29	27	12	35	15	18	54	8	33	40	11	16	27	23	23	51	25	41	56	46	30	51	37	10	29	11	20	29	54	31	9	28	34	24	26	23	15	54	10	23	39	42	34	10	20	26	42	37	31	24	12	26	7	13	29	17	20	18	30	4	8	36	28	24	52	43	17	10	40	29	23	46	12	39	12	29	15	47	42	10	34	15	27	51	42	13	48	14	46	25	34	25	26	41	35	44	8	16	37	12	28	33	38	26	31	4	30	26	33	50	54	38	8	38	40	26	33	6	8	30	33	49	9	8	21	30	
71	54	12	7	31	29	32	0	30	41	55	52	53	41	9	17	22	41	39	43	49	26	16	42	39	61	38	26	27	47	22	70	29	19	58	21	47	20	25	53	32	58	12	69	62	42	35	41	29	21	28	27	27	38	62	24	30	52	45	14	16	33	70	36	25	55	33	49	22	50	39	55	15	11	9	42	12	35	30	15	32	36	14	38	28	38	44	32	25	30	32	15	27	27	60	21	50	42	30	28	31	30	53	47	36	30	30	30	43	55	25	47	45	33	8	14	19	57	38	27	26	25	29	30	44	12	19	16	35	2	31	28	16	20	55	32	25	40	60	9	59	8	33	26	61	1	39	30	27	26	58	
44	46	20	33	19	22	16	30	0	58	48	46	29	51	25	35	26	55	43	27	47	21	28	42	66	41	41	6	45	28	28	70	21	22	56	15	20	35	9	38	57	33	41	72	62	45	59	50	5	37	24	32	14	62	44	19	12	50	40	32	29	3	71	10	34	55	52	49	18	36	41	58	27	23	24	28	19	12	26	35	2	6	19	43	14	24	50	12	10	57	52	20	6	26	43	11	60	27	49	4	41	28	61	56	10	45	28	39	62	58	24	60	30	54	25	24	13	39	53	45	50	11	1	22	20	20	40	42	39	30	12	14	16	39	64	59	45	23	55	40	36	26	10	9	43	31	59	23	8	33	46	
