5  50
1	43	79	21	87	31	72	89	88	76	1	79	75	86	33	75	83	36	44	81	72	4	95	90	59	73	72	1	58	39	21	94	91	84	12	84	10	19	53	69	5	77	81	75	26	64	72	45	91	36	
72	47	21	14	14	49	69	9	4	57	76	67	54	51	31	2	37	5	59	31	49	42	31	83	47	7	98	87	46	4	52	11	60	81	26	69	48	10	22	61	60	48	83	52	49	26	2	75	43	43	
82	53	28	28	33	19	51	35	37	47	2	33	45	53	54	69	56	93	49	45	31	13	100	11	93	74	88	1	78	11	34	10	64	49	24	49	69	36	66	73	26	15	53	20	39	84	15	50	17	89	
34	27	99	84	5	34	62	94	16	65	22	44	29	72	35	59	37	30	87	14	78	87	92	40	79	52	90	54	22	17	58	38	85	34	20	15	67	63	85	49	44	7	87	38	64	48	62	5	33	1	
26	61	87	97	100	48	23	22	50	39	67	15	67	99	51	46	78	79	97	91	98	55	50	22	19	84	91	11	54	84	42	93	16	11	12	75	57	44	96	25	57	45	59	42	74	9	47	46	49	76	
494	1753	1977	196	1929	176	1328	72	1854	2109	1553	1804	1548	1057	1926	778	2124	1229	277	342	1817	1465	1058	152	613	1270	1227	2062	1264	535	2431	860	1853	64	1145	1886	847	1455	364	969	2426	1205	1862	612	1358	2090	546	270	1399	2374	
0	73	58	84	73	53	58	89	36	24	16	37	58	71	65	25	45	61	51	68	75	22	72	73	24	65	50	38	67	68	53	68	66	75	78	72	46	47	58	50	77	79	52	22	53	59	75	41	97	21	60	
73	0	24	36	16	21	56	38	49	52	57	40	26	33	27	48	31	18	28	55	30	52	20	9	58	16	66	47	17	7	46	47	9	50	32	20	27	27	30	26	30	29	67	57	29	16	34	32	35	53	15	
58	24	0	57	14	11	63	60	46	35	45	21	36	49	8	37	29	30	7	66	49	40	39	31	51	8	68	45	33	24	53	60	24	64	51	39	17	13	39	26	49	49	70	49	35	23	51	22	59	37	23	
84	36	57	0	53	49	38	5	49	71	69	63	27	13	62	61	41	28	58	31	9	63	18	27	62	51	52	47	24	33	34	24	33	21	6	18	49	52	26	38	8	8	53	63	31	35	9	50	18	69	35	
73	16	14	53	0	21	68	55	56	49	58	36	39	48	12	50	37	31	21	69	47	53	36	26	63	8	76	54	32	20	58	62	22	65	48	36	28	26	42	33	46	45	78	61	40	25	50	34	51	51	25	
53	21	11	49	21	0	52	52	35	31	37	18	25	39	19	29	18	21	9	55	40	32	31	25	42	13	57	34	25	18	41	49	17	54	43	31	7	5	28	15	41	41	59	40	24	14	42	13	53	31	14	
58	56	63	38	68	52	0	43	25	56	47	56	30	28	71	43	34	37	60	10	33	44	39	48	34	62	14	24	39	49	10	13	47	20	35	39	48	51	26	36	36	38	14	37	28	43	30	43	56	52	43	
89	38	60	5	55	52	43	0	54	76	73	67	31	18	64	66	46	32	61	35	14	68	21	29	67	53	57	52	27	36	39	29	36	25	10	21	53	56	31	43	12	11	57	67	36	38	14	54	14	73	38	
36	49	46	49	56	35	25	54	0	31	22	33	26	36	54	18	18	31	41	33	40	19	40	44	12	48	23	2	36	42	17	31	40	39	43	40	29	32	24	23	43	45	25	13	21	33	39	23	64	27	34	
24	52	35	71	49	31	56	76	31	0	14	13	44	59	41	13	30	44	28	64	61	13	56	54	27	42	53	32	50	48	48	61	46	68	65	56	25	25	45	33	63	64	55	23	40	40	62	22	81	5	41	
16	57	45	69	58	37	47	73	22	14	0	24	42	55	52	8	29	45	38	55	59	5	56	57	13	50	41	23	51	51	40	54	50	61	63	56	31	32	42	33	62	63	43	10	37	43	59	25	81	9	43	
37	40	21	63	36	18	56	67	33	13	24	0	37	52	28	18	24	35	14	62	54	20	47	43	34	28	57	33	40	36	46	57	35	64	57	47	14	12	39	25	55	56	59	30	34	29	55	14	71	16	30	
58	26	36	27	39	25	30	31	26	44	42	37	0	15	43	34	14	7	34	30	17	37	14	20	38	33	39	23	11	19	20	23	17	28	21	14	24	27	3	12	19	20	41	38	5	13	18	23	38	42	14	
71	33	49	13	48	39	28	18	36	59	55	52	15	0	55	48	29	18	48	23	5	50	13	24	48	44	41	33	16	28	22	15	26	16	8	13	39	42	13	27	8	10	42	49	18	25	3	38	29	56	26	
65	27	8	62	12	19	71	64	54	41	52	28	43	55	0	44	37	37	14	73	54	47	44	35	59	11	76	53	39	28	60	67	29	71	57	44	25	21	46	34	54	54	78	56	43	30	57	30	62	44	29	
25	48	37	61	50	29	43	66	18	13	8	18	34	48	44	0	20	36	30	51	51	3	48	48	15	42	40	19	42	42	35	48	41	55	55	48	22	24	34	24	54	55	42	12	29	34	51	16	72	9	34	
45	31	29	41	37	18	34	46	18	30	29	24	14	29	37	20	0	16	25	38	31	23	27	28	27	30	39	16	22	24	23	33	22	40	35	27	13	17	15	5	34	34	41	26	10	15	32	10	52	27	16	
61	18	30	28	31	21	37	32	31	44	45	35	7	18	37	36	16	0	30	37	19	39	11	13	43	26	47	29	5	12	27	30	10	34	22	11	21	24	11	12	20	20	48	42	11	7	21	22	36	43	7	
