5  20
81	75	27	2	39	17	55	55	68	85	38	92	79	70	89	54	42	22	12	20	
19	34	63	69	71	59	7	81	82	21	2	48	43	17	3	15	22	64	31	49	
89	1	88	44	99	85	70	56	16	100	59	81	73	25	40	69	54	53	32	91	
100	42	76	46	10	69	66	25	52	66	64	19	45	21	99	4	40	16	77	61	
50	91	99	82	55	87	34	23	48	86	23	50	23	86	67	31	98	14	90	27	
627	487	52	485	228	225	717	918	658	940	460	859	244	838	842	899	887	785	953	131	
0	28	48	7	56	34	57	35	35	46	29	41	59	56	52	62	11	43	55	43	63	
28	0	21	23	27	10	36	7	8	30	3	40	40	37	25	36	26	34	29	21	43	
48	21	0	44	13	22	40	14	13	38	21	56	44	41	4	30	47	48	24	28	46	
7	23	44	0	50	28	49	30	31	39	23	35	51	49	48	55	5	36	48	36	56	
56	27	13	50	0	24	31	21	21	33	26	54	36	33	11	18	52	45	13	24	37	
34	10	22	28	24	0	26	10	13	20	7	34	30	27	25	27	29	27	20	11	33	
57	36	40	49	31	26	0	35	38	10	33	32	4	2	40	17	48	22	17	15	7	
35	7	14	30	21	10	35	0	3	30	7	43	39	36	18	31	33	37	24	20	42	
35	8	13	31	21	13	38	3	0	33	9	46	42	39	17	33	34	40	26	23	45	
46	30	38	39	33	20	10	30	33	0	27	23	12	9	40	24	37	13	21	10	16	
29	3	21	23	26	7	33	7	9	27	0	37	37	34	25	33	26	32	26	18	41	
41	40	56	35	54	34	32	43	46	23	37	0	31	30	59	47	30	10	44	30	34	
59	40	44	51	36	30	4	39	42	12	37	31	0	3	45	20	49	21	22	19	4	
56	37	41	49	33	27	2	36	39	9	34	30	3	0	42	19	47	20	19	16	6	
52	25	4	48	11	25	40	18	17	40	25	59	45	42	0	29	51	51	23	30	46	
62	36	30	55	18	27	17	31	33	24	33	47	20	19	29	0	55	37	7	20	20	
11	26	47	5	52	29	48	33	34	37	26	30	49	47	51	55	0	32	49	35	53	
43	34	48	36	45	27	22	37	40	13	32	10	21	20	51	37	32	0	34	21	25	
55	29	24	48	13	20	17	24	26	21	26	44	22	19	23	7	49	34	0	15	23	
43	21	28	36	24	11	15	20	23	10	18	30	19	16	30	20	35	21	15	0	22	
63	43	46	56	37	33	7	42	45	16	41	34	4	6	46	20	53	25	23	22	0	

