10  100
99	5	60	10	58	39	30	95	2	73	50	85	16	74	26	15	89	53	25	7	38	63	26	78	93	15	64	75	16	64	82	72	16	41	65	46	37	49	54	75	64	4	28	78	36	64	50	27	10	96	52	52	58	41	79	82	56	27	42	37	30	78	15	7	19	87	29	37	45	81	77	59	16	66	7	86	66	65	10	10	74	41	72	14	35	22	98	47	48	19	88	70	94	48	70	22	48	51	52	11	
25	35	29	78	85	4	79	52	100	25	96	25	22	92	99	79	37	26	55	89	46	79	62	26	77	88	22	13	45	33	62	11	73	47	20	31	2	51	68	35	83	29	72	100	98	45	73	48	86	11	96	88	33	88	47	74	3	55	27	38	55	21	12	96	36	98	37	82	99	32	23	11	15	3	83	27	47	84	65	38	58	77	49	92	94	15	60	95	48	48	18	24	25	98	88	42	17	8	45	61	
13	64	22	71	48	17	51	64	20	85	71	80	80	64	17	13	16	21	40	89	40	3	6	63	8	34	100	36	71	37	88	62	85	52	71	21	88	77	76	36	70	14	18	22	35	54	82	28	91	59	60	70	61	99	81	10	57	90	89	86	4	86	85	47	55	94	5	84	93	33	36	33	52	29	60	29	57	67	6	82	13	70	17	68	47	56	10	88	31	19	22	13	79	98	38	41	72	77	85	96	
76	74	89	9	26	77	77	79	32	66	26	84	79	88	37	27	87	33	39	86	89	65	95	53	10	54	24	37	82	78	3	12	1	30	69	86	53	97	81	66	3	53	60	7	90	35	76	11	21	30	92	57	96	60	33	60	63	77	98	92	38	68	77	1	87	73	89	50	100	17	10	2	63	73	2	94	49	25	16	94	45	89	70	21	18	29	88	1	59	32	95	30	96	5	54	46	4	13	39	53	
35	58	29	13	58	8	26	49	64	65	68	70	5	91	54	62	26	86	40	60	73	23	27	40	14	39	9	49	78	2	89	13	28	28	34	39	90	84	81	45	44	48	71	47	4	59	1	32	93	38	97	36	30	94	83	75	53	11	45	24	84	33	87	14	56	29	47	39	10	66	99	19	3	60	91	48	95	56	48	45	95	81	97	46	10	32	32	57	78	52	93	4	55	39	56	5	95	53	18	84	
27	59	85	74	55	79	25	12	86	84	10	85	11	100	3	18	46	61	21	71	57	84	13	36	74	95	1	100	28	82	27	64	99	11	26	78	21	72	96	95	36	89	78	99	25	74	10	1	25	51	73	68	60	20	91	82	77	13	4	79	37	87	81	83	38	8	85	66	23	96	54	67	59	55	23	99	20	71	38	54	85	6	92	65	61	63	43	20	55	51	23	89	11	33	14	60	11	78	3	37	
87	99	81	15	21	7	95	65	88	49	36	57	19	77	59	45	38	6	14	45	51	3	97	41	39	73	89	31	36	90	1	57	40	22	82	39	42	11	19	41	19	57	81	3	72	51	32	57	70	35	75	67	60	5	42	13	15	53	99	47	86	52	77	58	16	93	95	57	96	75	2	37	8	35	79	99	43	57	48	14	41	23	25	9	33	36	52	46	35	6	63	74	85	14	6	35	48	34	84	3	
7	45	26	29	54	14	63	71	84	67	23	95	38	37	93	14	71	11	99	50	100	60	27	95	11	67	43	51	75	54	40	25	55	9	52	57	57	15	96	59	98	89	49	47	49	32	36	38	31	90	33	98	13	30	69	7	97	41	21	34	38	56	83	88	72	96	20	29	23	49	66	18	45	77	99	78	68	57	36	53	20	72	82	30	78	23	91	25	27	8	49	77	81	31	63	70	44	76	47	17	
59	19	92	20	36	20	21	67	91	48	7	46	2	95	55	52	6	37	25	76	38	80	16	41	52	63	55	69	8	57	29	59	76	19	19	52	33	52	44	55	16	33	90	21	90	40	34	34	8	61	33	7	21	9	90	49	100	25	64	94	56	90	40	59	86	30	22	15	56	46	73	50	46	32	53	97	54	28	83	13	100	73	1	77	19	90	14	92	81	82	23	73	33	67	31	86	8	29	3	29	
74	15	92	24	85	53	92	9	13	20	43	91	1	43	47	62	31	56	12	26	50	87	92	49	37	18	33	76	61	79	93	27	10	15	64	17	42	97	33	6	43	18	32	36	31	31	14	54	5	81	85	73	67	86	62	78	19	17	53	28	69	37	50	59	42	39	27	34	29	54	29	55	70	64	49	82	16	88	75	61	46	81	13	20	96	15	48	35	82	76	79	10	57	47	60	90	99	23	1	44	
2983	328	3032	1839	3822	2138	3395	1332	4179	2784	1607	219	469	641	2572	1044	113	89	4808	493	4151	2405	3658	2644	2795	2412	1952	4946	3234	2202	4105	4134	2615	1236	1894	2425	4737	3822	2151	1768	3252	3267	636	1160	239	3540	1869	4613	2734	3060	4005	311	1712	1433	3985	2704	4837	3311	1458	4227	3713	927	2256	2639	1386	3581	4850	181	655	1553	281	1923	4684	2020	3665	3570	4697	4683	4166	1049	1353	176	80	2235	4838	2572	967	3833	859	1010	89	2894	897	188	2100	1027	479	92	290	1460	
0	73	13	57	69	11	94	58	53	80	43	75	70	66	64	71	53	63	67	64	37	61	20	57	33	69	87	10	43	36	40	81	52	62	47	38	65	63	25	49	47	56	72	56	63	35	49	96	14	70	80	60	59	63	52	38	78	54	67	35	32	39	52	52	61	54	57	50	62	42	66	36	61	40	29	69	79	61	54	28	64	82	25	60	82	58	58	40	79	57	70	62	51	71	54	75	41	62	45	76	85	
73	0	60	20	28	62	21	48	35	20	43	11	10	56	31	26	24	55	44	44	47	13	53	16	54	24	20	64	38	39	52	18	38	11	35	46	20	16	48	44	28	36	19	47	42	38	37	24	59	16	10	18	20	14	24	40	20	30	21	39	50	48	49	37	53	31	24	46	48	39	20	36	21	48	44	39	9	28	20	46	10	16	53	42	15	16	26	35	16	23	46	23	30	14	39	29	37	18	39	23	20	
13	60	0	45	57	1	82	47	41	68	35	63	57	59	52	60	42	56	59	56	29	48	7	44	27	56	75	4	30	23	33	68	43	49	37	27	53	50	14	38	34	46	61	45	52	22	37	83	2	58	67	48	47	50	39	25	67	41	54	23	24	28	45	42	54	41	46	39	51	32	53	24	49	33	17	60	66	49	42	15	51	70	17	49	70	45	45	28	66	44	59	49	40	59	45	64	30	50	36	65	73	
57	20	45	0	38	47	38	50	36	23	23	17	25	39	38	17	4	38	29	27	27	15	38	9	34	35	29	49	33	29	32	36	18	13	15	40	9	23	32	43	10	17	15	48	48	23	36	39	44	12	30	2	2	21	5	33	21	31	31	22	30	43	29	17	35	32	5	45	52	19	30	23	5	28	28	25	29	33	6	32	16	24	34	46	24	16	29	17	34	25	53	29	10	13	19	22	18	4	19	20	28	
69	28	57	38	0	58	43	23	16	48	57	39	17	77	6	51	40	76	67	66	58	23	51	28	63	3	47	59	26	34	65	16	55	26	50	32	44	15	51	24	39	55	46	23	16	40	21	48	55	42	25	38	39	17	38	31	48	15	7	44	58	33	66	54	73	15	43	25	22	51	8	38	42	61	46	63	24	8	33	42	23	44	58	17	43	22	12	42	17	15	18	9	46	41	57	56	47	39	53	50	48	
11	62	1	47	58	0	83	48	42	70	36	64	59	60	53	61	43	57	60	57	30	49	8	45	27	57	76	3	31	24	34	69	44	50	38	28	55	51	15	39	36	47	62	46	53	24	38	85	3	59	69	49	48	51	41	26	68	43	55	25	25	29	46	43	55	42	47	40	52	33	55	25	51	34	18	61	67	50	43	16	52	71	18	50	71	47	47	29	68	45	60	51	41	60	46	65	31	51	37	66	75	
94	21	82	38	43	83	0	65	54	23	60	21	28	67	48	35	43	67	54	55	66	34	74	37	72	40	14	85	59	60	70	27	53	32	53	67	34	35	69	63	48	50	28	65	59	59	57	5	80	28	18	35	37	34	43	61	25	49	38	59	69	69	63	52	65	50	40	65	65	57	37	58	37	66	65	48	19	46	40	67	31	17	73	59	16	37	45	55	26	43	61	41	47	26	53	36	56	34	56	29	17	
58	48	47	50	23	48	65	0	14	67	61	57	38	86	17	66	50	84	78	76	60	38	43	41	63	25	68	48	20	30	67	40	63	41	56	20	58	32	47	9	46	65	62	2	7	39	14	70	45	58	47	51	52	34	47	25	66	19	27	45	58	19	72	62	81	18	55	8	4	55	28	37	55	64	43	76	46	20	44	36	39	64	55	6	63	35	22	46	40	25	12	25	55	57	66	71	51	53	59	67	68	
53	35	41	36	16	42	54	14	0	53	48	44	25	72	10	52	36	70	64	62	48	24	36	26	52	16	55	43	11	20	55	31	50	27	43	16	44	19	37	9	32	51	48	12	13	27	4	58	39	44	36	37	38	21	33	16	52	5	16	33	47	17	59	48	67	4	40	11	16	43	17	26	41	51	32	61	35	9	30	28	26	51	45	10	50	21	9	33	31	12	20	13	41	43	52	57	38	39	46	53	55	
