10  20
96	38	90	96	44	83	23	56	88	99	98	89	48	27	11	84	91	40	88	76	
8	4	62	39	24	69	53	47	55	11	9	72	93	87	7	87	52	15	73	26	
44	52	13	96	21	76	24	64	63	49	71	32	30	67	98	17	60	69	66	54	
51	15	76	34	92	7	81	88	75	57	33	52	71	74	77	97	90	98	42	76	
14	12	26	68	20	94	42	70	74	29	12	14	33	37	73	64	19	47	95	80	
4	61	66	72	80	57	38	72	43	52	5	19	64	91	92	91	88	78	39	87	
23	7	47	81	58	27	72	66	89	82	47	92	68	61	99	28	73	20	61	52	
8	78	20	99	25	76	26	57	85	90	1	60	52	86	45	65	25	13	14	45	
9	15	50	9	40	68	27	62	42	12	25	24	56	94	59	24	99	84	99	79	
4	81	3	87	100	79	93	27	74	2	5	11	79	79	33	69	32	69	8	24	
715	134	287	282	947	957	632	70	796	638	970	229	766	787	881	662	954	294	932	837	
0	69	82	19	86	80	65	53	81	78	71	67	45	59	12	77	50	54	61	32	43	
69	0	25	53	33	18	44	32	36	9	50	16	37	42	57	22	27	30	23	39	26	
82	25	0	62	8	8	32	30	13	23	34	15	60	34	71	5	31	55	20	49	40	
19	53	62	0	66	61	46	33	61	62	52	48	38	39	13	58	31	45	42	13	27	
86	33	8	66	0	16	29	33	8	31	31	21	67	33	76	12	36	63	24	53	46	
80	18	8	61	16	0	36	32	21	15	40	13	54	38	68	7	30	48	20	47	36	
65	44	32	46	29	36	0	16	22	48	7	27	63	6	58	29	24	63	21	37	37	
53	32	30	33	33	32	16	0	28	39	24	19	46	12	44	26	8	47	11	22	21	
81	36	13	61	8	21	22	28	0	36	23	21	67	26	72	14	32	63	21	49	43	
78	9	23	62	31	15	48	39	36	0	53	21	45	48	66	21	35	37	28	48	35	
71	50	34	52	31	40	7	24	23	53	0	33	70	13	64	33	31	70	27	44	45	
67	16	15	48	21	13	27	19	21	21	33	0	46	27	56	10	17	42	8	34	25	
45	37	60	38	67	54	63	46	67	45	70	46	0	58	33	55	38	9	46	32	25	
59	42	34	39	33	38	6	12	26	48	13	27	58	0	51	31	20	59	19	31	33	
12	57	71	13	76	68	58	44	72	66	64	56	33	51	0	66	39	42	51	22	31	
77	22	5	58	12	7	29	26	14	21	33	10	55	31	66	0	26	51	15	44	35	
50	27	31	31	36	30	24	8	32	35	31	17	38	20	39	26	0	39	11	17	13	
54	30	55	45	63	48	63	47	63	37	70	42	9	59	42	51	39	0	44	37	26	
61	23	20	42	24	20	21	11	21	28	27	8	46	19	51	15	11	44	0	29	22	
32	39	49	13	53	47	37	22	49	48	44	34	32	31	22	44	17	37	29	0	14	
43	26	40	27	46	36	37	21	43	35	45	25	25	33	31	35	13	26	22	14	0	

